Time,b/s,Mb/s
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,7737802752,7737.802752
5,8101560320,8101.56032
6,8037629952,8037.629952
7,7722467000,7722.467
8,7453966664,7453.966664
9,7727578808,7727.578808
10,7395508552,7395.508552
